product_family,entity_scope,month,total_downloads,ios_downloads,google_play_downloads,revenue_usd,paid_downloads_proxy,organic_downloads,organic_share,top_5_countries,ad_creative_count,rating,review_count,major_version,liveops_event,ip_collab,organic_paid_ratio,rpd_usd,download_peak_ratio,revenue_peak_ratio,revenue_persistence,3m_revenue_carryover,data_status,source,notes
Heartopia,Global,2025-12,0,0,0,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.000000,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,Global store listing month; Diandian reports zero global downloads
Heartopia,Global,2026-01,10886824,5369271,5517553,n.a.,n.a.,n.a.,n.a.,"美国:1477986; 泰国:1125095; 菲律宾:1073754; 巴西:997920; 日本:908676",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.000000,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,Formal global launch month
Heartopia,Global,2026-02,4510681,2067272,2443409,n.a.,n.a.,n.a.,n.a.,"泰国:672813; 美国:568412; 日本:512224; 韩国:356882; 菲律宾:303405",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.414325,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
Heartopia,Global,2026-03,2898880,1246529,1652351,n.a.,n.a.,n.a.,n.a.,"泰国:399627; 美国:363652; 韩国:335296; 菲律宾:235842; 巴西:230495",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.266274,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
Heartopia,Global,2026-04,1161243,643971,517272,n.a.,n.a.,n.a.,n.a.,"泰国:154795; 韩国:129144; 美国:127155; 巴西:105916; 日本:95609",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.106665,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
Heartopia,Global,2026-05,684986,392880,292106,n.a.,n.a.,n.a.,n.a.,"泰国:90425; 美国:71342; 巴西:62325; 日本:58649; 韩国:51059",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.062919,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
Heartopia,Global,2026-06,554317,346249,208068,n.a.,n.a.,n.a.,n.a.,"泰国:88779; 美国:68821; 日本:60589; 韩国:47923; 中国台湾:30219",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.050916,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
Heartopia,Global,2026-07,495881,310761,185120,n.a.,n.a.,n.a.,n.a.,"美国:77020; 泰国:61144; 日本:59138; 韩国:44669; 巴西:31255",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.045549,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
Heartopia,Global,2026-08,385481,227762,157719,n.a.,n.a.,n.a.,n.a.,"美国:57677; 韩国:51138; 日本:42323; 泰国:41047; 中国台湾:25170",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.035408,n.a.,n.a.,n.a.,downloads_verified_revenue_unavailable,Diandian export 2025-09 to 2026-08,
